id,companyName,fuel,fuelSource,unit,price,lastUpdated,type,street,houseNumber,postalCode,city,county,country,longitude,latitude
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.764,2022-10-04T12:15:33.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,PER_LITER,1.739,2022-10-04T12:15:33.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.734,2022-10-04T12:55:25.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.734,2022-10-04T12:55:25.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,PER_LITER,1.739,2022-10-04T12:15:33.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.734,2022-10-04T12:55:25.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.734,2022-10-04T12:55:25.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,PER_LITER,1.739,2022-10-04T12:15:33.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.734,2022-10-04T12:55:25.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.734,2022-10-04T12:55:25.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,PER_LITER,1.734,2022-10-04T13:50:25.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.734,2022-10-04T12:55:25.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.734,2022-10-04T12:55:25.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,PER_LITER,1.714,2022-10-04T14:25:21.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.734,2022-10-04T12:55:25.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
